City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
211,Kerema,PG,-7.9631,145.7785,74.25,91,100,4.59,overcast clouds,2021-08-07 20:28:49
212,Eregli,TR,37.5133,34.0467,66.74,64,100,5.19,overcast clouds,2021-08-07 20:28:49
213,Bilma,NE,18.6853,12.9164,98.74,21,88,13.09,overcast clouds,2021-08-07 20:28:50
214,Cabo San Lucas,MX,22.8909,-109.9124,90.7,66,40,13.8,thunderstorm,2021-08-07 20:28:50
215,Chumphon,TH,10.3333,98.8333,72.93,95,79,3.6,broken clouds,2021-08-07 20:28:50
216,Lasa,IT,46.6166,10.7002,63.86,98,93,4.41,light rain,2021-08-07 20:28:51
217,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,68,14,8.14,few clouds,2021-08-07 20:28:51
218,Ban Dung,TH,17.699,103.2596,78.51,84,100,5.84,overcast clouds,2021-08-07 20:28:51
219,Todos Santos,MX,23.45,-110.2167,90.19,72,60,11.65,broken clouds,2021-08-07 20:28:51
220,Baruun-Urt,MN,46.6806,113.2792,64.96,55,100,5.73,overcast clouds,2021-08-07 20:28:52
221,Nikolskoye,RU,59.7035,30.7861,64.29,99,100,5.82,light rain,2021-08-07 20:24:42
222,Pisco,PE,-13.7,-76.2167,66.25,68,40,11.5,scattered clouds,2021-08-07 20:26:05
223,Vardo,NO,70.3705,31.1107,57.63,70,50,8.5,scattered clouds,2021-08-07 20:25:53
224,Ossora,RU,59.2353,163.0719,54.82,73,98,10.4,overcast clouds,2021-08-07 20:28:52
225,Guerrero Negro,MX,27.9769,-114.0611,82.02,54,47,10.85,scattered clouds,2021-08-07 20:28:52
226,Mgandu,TZ,-5.95,34.1333,66.11,48,29,8.72,scattered clouds,2021-08-07 20:28:53
227,Deputatskiy,RU,69.3,139.9,49.08,76,74,3.15,broken clouds,2021-08-07 20:28:53
228,Russell,US,32.3502,-85.1999,90.68,53,40,3.44,scattered clouds,2021-08-07 20:28:53
229,Komsomolskiy,UZ,40.4272,71.7189,79.52,36,65,11.5,broken clouds,2021-08-07 20:25:27
230,Vozrozhdeniye,RU,44.5503,38.2136,77.25,85,98,4.79,overcast clouds,2021-08-07 20:28:54
231,Kamaishi,JP,39.2667,141.8833,77.04,96,100,6.4,overcast clouds,2021-08-07 20:27:14
232,Vestmanna,FO,62.1564,-7.1664,61.72,63,40,14.97,scattered clouds,2021-08-07 20:28:54
233,Juba,SS,4.8517,31.5825,73.56,81,5,5.01,clear sky,2021-08-07 20:28:54
234,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,8.05,light rain,2021-08-07 20:28:55
235,Esperance,AU,-33.8667,121.9,57.04,74,100,4.61,overcast clouds,2021-08-07 20:28:55
236,Sumter,US,28.7086,-82.0831,95.11,62,70,8.99,broken clouds,2021-08-07 20:28:55
237,Hay River,CA,60.8156,-115.7999,58.98,94,75,13.8,light rain,2021-08-07 20:26:57
238,Sorland,NO,67.667,12.6934,57.65,79,100,12.55,overcast clouds,2021-08-07 20:27:23
239,Hudson Bay,CA,52.85,-102.3842,90.77,25,93,13.51,overcast clouds,2021-08-07 20:28:56
240,Teguise,ES,29.0605,-13.564,71.82,73,75,12.66,broken clouds,2021-08-07 20:28:56
241,Camacupa,AO,-12.0167,17.4833,62.94,17,8,2.75,clear sky,2021-08-07 20:28:56
242,Quatre Cocos,MU,-20.2078,57.7625,70.09,77,61,11.01,light rain,2021-08-07 20:28:57
243,Banjar,ID,-8.19,114.9675,80.46,92,32,3.56,scattered clouds,2021-08-07 20:25:19
244,Kungurtug,RU,50.5994,97.5228,47.95,96,100,0.58,overcast clouds,2021-08-07 20:28:57
245,Mehamn,NO,71.0357,27.8492,62.44,63,60,6.98,broken clouds,2021-08-07 20:28:57
246,Nemuro,JP,43.3236,145.575,67.98,98,30,10.96,scattered clouds,2021-08-07 20:28:58
247,Xiaoshi,CN,41.2971,124.1209,66.22,91,78,2.13,broken clouds,2021-08-07 20:28:58
248,Sorong,ID,-0.8833,131.25,77.76,88,100,7.0,moderate rain,2021-08-07 20:28:58
249,Esfarayen,IR,37.0765,57.5101,73.06,20,3,5.93,clear sky,2021-08-07 20:28:58
250,Mao,ES,39.8885,4.2658,79.36,83,40,13.8,scattered clouds,2021-08-07 20:28:59
251,Faanui,PF,-16.4833,-151.75,78.06,71,25,8.01,scattered clouds,2021-08-07 20:28:59
252,Hun,LY,29.1268,15.9477,94.17,26,0,17.72,clear sky,2021-08-07 20:28:59
253,Mitsamiouli,KM,-11.3847,43.2844,77.23,66,96,3.96,overcast clouds,2021-08-07 20:29:00
254,Iracoubo,GF,5.4802,-53.2011,79.29,87,89,4.92,overcast clouds,2021-08-07 20:29:00
