City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Saint-Philippe,RE,2021-08-07 19:07:31,-21.3585,55.7679,71.15,77,35,12.53
144,New Norfolk,AU,2021-08-07 19:07:31,-42.7826,147.0587,34.92,85,99,2.66
145,Bahia Honda,CU,2021-08-07 19:07:31,22.9036,-83.1592,88.45,61,79,9.82
146,Marzuq,YE,2021-08-07 19:07:32,14.4,46.4667,86.99,39,97,4.47
147,Taltal,CL,2021-08-07 19:02:42,-25.4,-70.4833,57.61,72,38,5.12
148,Maniitsoq,GL,2021-08-07 19:07:32,65.4167,-52.9,42.73,88,100,7.31
149,Jamestown,US,2021-08-07 19:07:32,42.097,-79.2353,82.29,69,20,21.85
150,Poum,NC,2021-08-07 19:07:33,-20.2333,164.0167,69.4,71,100,10.07
151,Te Anau,NZ,2021-08-07 19:07:33,-45.4167,167.7167,33.42,99,100,3.36
152,Isangel,VU,2021-08-07 19:07:33,-19.55,169.2667,68.43,77,90,6.96
153,Port Elizabeth,ZA,2021-08-07 19:05:43,-33.918,25.5701,57.09,89,100,8.99
154,Aklavik,CA,2021-08-07 19:07:33,68.2191,-135.0107,46.4,81,90,8.05
155,Promissao,BR,2021-08-07 19:07:34,-21.5367,-49.8581,85.26,23,18,9.24
156,Chuy,UY,2021-08-07 19:07:34,-33.6971,-53.4616,70.57,68,13,6.06
157,Nantucket,US,2021-08-07 19:07:34,41.2835,-70.0995,84.96,84,1,11.5
158,Sorland,NO,2021-08-07 19:07:35,67.667,12.6934,57.13,81,100,13.27
159,Forbes,AU,2021-08-07 19:07:35,-33.3833,148.0167,38.97,87,0,4.72
160,Bengkulu,ID,2021-08-07 19:07:35,-3.8004,102.2655,75.74,92,13,3.65
161,Rabaul,PG,2021-08-07 19:07:35,-4.1967,152.1721,77.4,86,98,11.3
162,Ust-Ilimsk,RU,2021-08-07 19:07:36,58.0006,102.6619,53.22,59,20,0.56
163,Iringa,TZ,2021-08-07 19:07:36,-7.7667,35.7,53.35,88,6,7.29
164,Tieling,CN,2021-08-07 19:07:37,42.2931,123.8414,68.2,82,100,2.71
165,Tuktoyaktuk,CA,2021-08-07 19:04:08,69.4541,-133.0374,41.63,83,100,14.12
166,Saldanha,ZA,2021-08-07 19:07:37,-33.0117,17.9442,56.86,72,100,6.42
167,Ca Mau,VN,2021-08-07 19:07:38,9.1769,105.15,79.32,89,100,4.14
168,Muromtsevo,RU,2021-08-07 19:07:38,56.3724,75.2418,61.09,97,100,5.95
169,Alice Springs,AU,2021-08-07 19:03:08,-23.7,133.8833,38.75,56,0,5.75
170,Udachnyy,RU,2021-08-07 19:07:38,66.4167,112.4,57.11,67,100,3.65
171,Sobolevo,RU,2021-08-07 19:07:39,54.4299,31.8996,57.9,86,100,6.76
172,Scarborough,GB,2021-08-07 19:07:39,54.2797,-0.4044,63.97,76,97,1.01
173,Alofi,NU,2021-08-07 19:04:33,-19.0595,-169.9187,74.08,71,16,14.16
174,Grindavik,IS,2021-08-07 19:02:43,63.8424,-22.4338,58.55,94,75,6.91
175,Panguna,PG,2021-08-07 19:07:39,-6.3164,155.4848,67.75,98,100,3.04
176,Igrim,RU,2021-08-07 19:07:40,63.1906,64.4162,65.62,73,100,6.82
177,Chapais,CA,2021-08-07 19:02:45,49.7834,-74.8492,65.95,32,6,8.39
178,Matara,LK,2021-08-07 19:07:40,5.9485,80.5353,77.68,88,100,13.65
179,Price,US,2021-08-07 19:05:14,39.5994,-110.8107,81.66,19,1,8.05
180,Gamba,GA,2021-08-07 19:07:40,-2.65,10.0,73.18,85,100,6.29
181,El Sauzal,MX,2021-08-07 19:04:14,31.9,-116.6833,68.41,82,37,7.02
182,Luderitz,NA,2021-08-07 19:07:41,-26.6481,15.1594,58.73,64,2,1.16
183,Qaqortoq,GL,2021-08-07 19:07:35,60.7167,-46.0333,52.3,92,100,6.02
184,Maneadero,MX,2021-08-07 19:02:45,31.7167,-116.5667,80.19,82,19,5.01
185,Santa Isabel Do Rio Negro,BR,2021-08-07 19:07:41,-0.4139,-65.0192,84.11,67,97,1.66
186,Saint-Pierre,RE,2021-08-07 19:07:41,-21.3393,55.4781,71.24,74,75,5.75
187,Richards Bay,ZA,2021-08-07 19:05:05,-28.783,32.0377,61.57,82,0,2.73
188,Fort-Shevchenko,KZ,2021-08-07 19:07:42,44.5086,50.263,91.53,31,0,21.36
189,Bone,DE,2021-08-07 19:07:42,51.9669,12.1396,65.07,87,100,13.8
190,Worland,US,2021-08-07 19:05:40,44.0169,-107.9554,82.67,37,1,1.99
191,Vila Do Maio,CV,2021-08-07 19:07:43,15.1333,-23.2167,81.39,84,27,8.55
192,Airai,TL,2021-08-07 19:04:17,-8.9266,125.4092,52.9,69,29,2.48
